arm,seed,composition,verdict
C-random,909631038380618583,r,keep
A,12037869068591551369,r,reject
B,7551099146240669442,3,reject
C-locked,1199466842672657757,4,reject
C-random,8504794649327772930,r,keep
B,6770867785516932825,5,reject
A,7368249015566348658,r,keep
C-locked,15720488590763258645,3,keep
C-locked,7979090832918199937,7,keep
A,16503705221060234680,r,keep
C-random,6121106375767578744,r,keep
B,12331514884901709761,8,keep
A,15212017037728580615,r,keep
C-locked,12718949206711692339,3,reject
C-random,8580097461627369316,r,reject
B,13038898887517333083,5,keep
C-random,12878738184955251324,r,keep
B,7566185384274594826,6,keep
C-locked,17734082283011255249,5,reject
A,1163101269089266066,r,reject
A,2416350961184136579,r,keep
C-locked,6196387243156155029,3,keep
C-random,2307045740067948720,r,reject
B,3495391965058002272,4,keep
A,3349109417434889057,r,keep
C-random,2800105681006070327,r,keep
C-locked,15015179186305610390,1,keep
B,1925722230327835158,4,keep
C-random,9608938071243285777,r,keep
C-locked,8043954827911032903,8,keep
A,16370769800345823743,r,keep
B,2776331245352814718,2,keep
A,15814435939432247665,r,keep
B,10325899524371967104,3,keep
C-locked,15977065156508125107,5,keep
C-random,12417641144186051288,r,keep
C-locked,2159253206369718256,5,reject
C-random,17542192635475595566,r,reject
B,11361770799120101154,4,keep
A,17831790123979378713,r,reject
C-locked,7188889477751577927,7,keep
B,12746513612103961602,2,keep
A,4007562763978737201,r,reject
C-random,8666784793167849338,r,reject
C-random,3294858677800837281,r,reject
C-locked,3282346777403927458,3,keep
B,6366272075758214594,1,keep
A,2612476929315386031,r,keep
C-locked,10143232772849116852,5,reject
A,14055362424017737320,r,keep
B,1221111491069304204,3,reject
C-random,7819200568432448192,r,reject
B,15667634489432944640,6,reject
C-locked,15883919006513778773,3,reject
A,8509761788545620958,r,reject
C-random,673679885793976535,r,reject
B,5380284892068535598,7,keep
C-locked,15919448746600125832,3,keep
C-random,4450328509127043228,r,reject
A,14453232822239454273,r,reject
B,8473632126558799321,1,reject
C-random,16577729785986504123,r,reject
A,8939991595866087055,r,keep
C-random,14058216021445210492,r,reject
C-locked,3872923319015442964,1,reject
B,5937459843557839947,7,keep
